city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Vista,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 23.99, 'aqi': 29}","{'concentration': 41.84, 'aqi': 35}","{'concentration': 1.97, 'aqi': 2}","{'concentration': 24.04, 'aqi': 67}","{'concentration': 36.61, 'aqi': 33}",67
Miramar,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 6, 'aqi': 7}","{'concentration': 65.09, 'aqi': 69}","{'concentration': 0.86, 'aqi': 1}","{'concentration': 3.18, 'aqi': 10}","{'concentration': 8.31, 'aqi': 7}",69
Alexandria,"{'concentration': 230.31, 'aqi': 2}","{'concentration': 11.65, 'aqi': 14}","{'concentration': 75.82, 'aqi': 102}","{'concentration': 63.9, 'aqi': 63}","{'concentration': 37, 'aqi': 93}","{'concentration': 94.33, 'aqi': 70}",102
Kenosha,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 13.54, 'aqi': 16}","{'concentration': 44.35, 'aqi': 37}","{'concentration': 3.82, 'aqi': 5}","{'concentration': 6.34, 'aqi': 20}","{'concentration': 8.32, 'aqi': 7}",37
Fishers,"{'concentration': 353.81, 'aqi': 4}","{'concentration': 22.96, 'aqi': 28}","{'concentration': 29.68, 'aqi': 25}","{'concentration': 3.58, 'aqi': 5}","{'concentration': 7.52, 'aqi': 24}","{'concentration': 10.41, 'aqi': 9}",28
Rockville,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 14.05, 'aqi': 17}","{'concentration': 41.84, 'aqi': 35}","{'concentration': 2.89, 'aqi': 4}","{'concentration': 2.25, 'aqi': 7}","{'concentration': 3.74, 'aqi': 3}",35
Fresno,"{'concentration': 540.73, 'aqi': 6}","{'concentration': 41.81, 'aqi': 52}","{'concentration': 0.82, 'aqi': 0}","{'concentration': 0.75, 'aqi': 1}","{'concentration': 19.05, 'aqi': 57}","{'concentration': 24.95, 'aqi': 23}",57
Mount Vernon,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 8.23, 'aqi': 10}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 7.21, 'aqi': 10}","{'concentration': 3.26, 'aqi': 10}","{'concentration': 3.97, 'aqi': 3}",49
Hayward,"{'concentration': 881.2, 'aqi': 10}","{'concentration': 74.03, 'aqi': 92}","{'concentration': 0, 'aqi': 0}","{'concentration': 4.23, 'aqi': 6}","{'concentration': 31.76, 'aqi': 82}","{'concentration': 45.36, 'aqi': 42}",92
Cedar Park,"{'concentration': 280.38, 'aqi': 3}","{'concentration': 12.85, 'aqi': 16}","{'concentration': 63.66, 'aqi': 64}","{'concentration': 1.42, 'aqi': 2}","{'concentration': 4.32, 'aqi': 14}","{'concentration': 5.85, 'aqi': 5}",64
Lynchburg,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 11.65, 'aqi': 14}","{'concentration': 27.9, 'aqi': 23}","{'concentration': 1.01, 'aqi': 1}","{'concentration': 1.23, 'aqi': 3}","{'concentration': 1.89, 'aqi': 1}",23
Manchester,"{'concentration': 230.31, 'aqi': 2}","{'concentration': 9.68, 'aqi': 12}","{'concentration': 51.5, 'aqi': 43}","{'concentration': 2.59, 'aqi': 3}","{'concentration': 1.76, 'aqi': 5}","{'concentration': 2.6, 'aqi': 2}",43
Saint Joseph,"{'concentration': 220.3, 'aqi': 2}","{'concentration': 3.38, 'aqi': 4}","{'concentration': 58.65, 'aqi': 49}","{'concentration': 1.03, 'aqi': 1}","{'concentration': 1.38, 'aqi': 4}","{'concentration': 2.14, 'aqi': 1}",49
Bismarck,"{'concentration': 233.65, 'aqi': 2}","{'concentration': 3.21, 'aqi': 4}","{'concentration': 68.67, 'aqi': 80}","{'concentration': 3.25, 'aqi': 4}","{'concentration': 0.77, 'aqi': 2}","{'concentration': 1.18, 'aqi': 1}",80
Fort Collins,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 14.91, 'aqi': 18}","{'concentration': 30.04, 'aqi': 25}","{'concentration': 0.44, 'aqi': 0}","{'concentration': 3.99, 'aqi': 12}","{'concentration': 5.31, 'aqi': 4}",25
Waco,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 5.66, 'aqi': 7}","{'concentration': 76.53, 'aqi': 103}","{'concentration': 3.22, 'aqi': 4}","{'concentration': 3.82, 'aqi': 12}","{'concentration': 4.57, 'aqi': 4}",103
Sandy,"{'concentration': 714.3, 'aqi': 8}","{'concentration': 67.17, 'aqi': 83}","{'concentration': 0.01, 'aqi': 0}","{'concentration': 3.99, 'aqi': 5}","{'concentration': 38.89, 'aqi': 96}","{'concentration': 44.74, 'aqi': 41}",96
Richardson,"{'concentration': 380.52, 'aqi': 4}","{'concentration': 36.67, 'aqi': 45}","{'concentration': 45.78, 'aqi': 38}","{'concentration': 4.41, 'aqi': 6}","{'concentration': 8.45, 'aqi': 27}","{'concentration': 12.3, 'aqi': 11}",45
Grand Rapids,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 20.91, 'aqi': 26}","{'concentration': 38.62, 'aqi': 32}","{'concentration': 6.74, 'aqi': 9}","{'concentration': 9.4, 'aqi': 30}","{'concentration': 11.78, 'aqi': 10}",32
Saint Cloud,"{'concentration': 373.84, 'aqi': 4}","{'concentration': 21.42, 'aqi': 26}","{'concentration': 11.09, 'aqi': 9}","{'concentration': 3.01, 'aqi': 4}","{'concentration': 7.33, 'aqi': 23}","{'concentration': 8.98, 'aqi': 8}",26
Carmichael,"{'concentration': 200.27, 'aqi': 2}","{'concentration': 1.35, 'aqi': 1}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 0.97, 'aqi': 1}","{'concentration': 1.89, 'aqi': 6}","{'concentration': 6.99, 'aqi': 6}",42
Lowell,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 2.46, 'aqi': 3}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 0.11, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.77, 'aqi': 0}",34
Davis,"{'concentration': 494, 'aqi': 5}","{'concentration': 53.47, 'aqi': 66}","{'concentration': 3.49, 'aqi': 2}","{'concentration': 1.15, 'aqi': 1}","{'concentration': 14.04, 'aqi': 45}","{'concentration': 16.79, 'aqi': 15}",66
New York,"{'concentration': 360.49, 'aqi': 4}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 26.46, 'aqi': 22}","{'concentration': 1.86, 'aqi': 2}","{'concentration': 4.22, 'aqi': 13}","{'concentration': 8.06, 'aqi': 7}",33
Sandy Springs,"{'concentration': 360.49, 'aqi': 4}","{'concentration': 20.74, 'aqi': 25}","{'concentration': 30.76, 'aqi': 26}","{'concentration': 1.28, 'aqi': 1}","{'concentration': 8.74, 'aqi': 28}","{'concentration': 11.81, 'aqi': 10}",28
Tampa,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 8.14, 'aqi': 10}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 1.73, 'aqi': 2}","{'concentration': 5.39, 'aqi': 17}","{'concentration': 6.26, 'aqi': 5}",51
Providence,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 4.11, 'aqi': 5}","{'concentration': 49.35, 'aqi': 41}","{'concentration': 0.28, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.77, 'aqi': 0}",41
Bellflower,"{'concentration': 1976.01, 'aqi': 22}","{'concentration': 146.69, 'aqi': 137}","{'concentration': 0, 'aqi': 0}","{'concentration': 22.65, 'aqi': 33}","{'concentration': 97.66, 'aqi': 168}","{'concentration': 133.92, 'aqi': 89}",168
Costa Mesa,"{'concentration': 674.25, 'aqi': 7}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 29.56, 'aqi': 78}","{'concentration': 48.84, 'aqi': 45}",78
Lansing,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 17.14, 'aqi': 21}","{'concentration': 42.56, 'aqi': 36}","{'concentration': 4.23, 'aqi': 6}","{'concentration': 7.67, 'aqi': 24}","{'concentration': 9.25, 'aqi': 8}",36
Lancaster,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 4.63, 'aqi': 5}","{'concentration': 60.08, 'aqi': 53}","{'concentration': 1.12, 'aqi': 1}","{'concentration': 0.59, 'aqi': 1}","{'concentration': 1.39, 'aqi': 1}",53
Baldwin Park,"{'concentration': 961.3, 'aqi': 10}","{'concentration': 134.35, 'aqi': 130}","{'concentration': 0, 'aqi': 0}","{'concentration': 15.74, 'aqi': 23}","{'concentration': 83.12, 'aqi': 160}","{'concentration': 108.04, 'aqi': 77}",160
Lakeland,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 3.51, 'aqi': 4}","{'concentration': 55.79, 'aqi': 47}","{'concentration': 0.41, 'aqi': 0}","{'concentration': 4.51, 'aqi': 14}","{'concentration': 5.47, 'aqi': 5}",47
Metairie,"{'concentration': 634.19, 'aqi': 7}","{'concentration': 65.12, 'aqi': 81}","{'concentration': 4.02, 'aqi': 3}","{'concentration': 7.75, 'aqi': 11}","{'concentration': 16.33, 'aqi': 51}","{'concentration': 19.17, 'aqi': 17}",81
Milpitas,"{'concentration': 747.68, 'aqi': 8}","{'concentration': 79.51, 'aqi': 99}","{'concentration': 0, 'aqi': 0}","{'concentration': 5.31, 'aqi': 7}","{'concentration': 31.6, 'aqi': 82}","{'concentration': 44.98, 'aqi': 41}",99
Seattle,"{'concentration': 343.8, 'aqi': 3}","{'concentration': 22.28, 'aqi': 27}","{'concentration': 30.4, 'aqi': 25}","{'concentration': 3.01, 'aqi': 4}","{'concentration': 6.74, 'aqi': 21}","{'concentration': 8.76, 'aqi': 8}",27
Shawnee,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 22.28, 'aqi': 27}","{'concentration': 20.74, 'aqi': 17}","{'concentration': 0.62, 'aqi': 0}","{'concentration': 4.55, 'aqi': 14}","{'concentration': 8.58, 'aqi': 7}",27
Tyler,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 4.76, 'aqi': 5}","{'concentration': 55.79, 'aqi': 47}","{'concentration': 0.59, 'aqi': 0}","{'concentration': 3.21, 'aqi': 10}","{'concentration': 3.96, 'aqi': 3}",47
Atascocita,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 22.28, 'aqi': 27}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 4.17, 'aqi': 6}","{'concentration': 5.79, 'aqi': 18}","{'concentration': 8.96, 'aqi': 8}",44
Irving,"{'concentration': 390.53, 'aqi': 4}","{'concentration': 40.1, 'aqi': 50}","{'concentration': 40.77, 'aqi': 34}","{'concentration': 3.79, 'aqi': 5}","{'concentration': 7.88, 'aqi': 25}","{'concentration': 11.97, 'aqi': 11}",50
Jurupa Valley,"{'concentration': 934.6, 'aqi': 10}","{'concentration': 113.79, 'aqi': 119}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 13.35, 'aqi': 19}","{'concentration': 57.43, 'aqi': 134}","{'concentration': 76.06, 'aqi': 61}",134
Sunrise,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 4.88, 'aqi': 6}","{'concentration': 66.52, 'aqi': 73}","{'concentration': 0.63, 'aqi': 0}","{'concentration': 2.84, 'aqi': 9}","{'concentration': 7.74, 'aqi': 7}",73
Jonesboro,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 5.18, 'aqi': 6}","{'concentration': 53.64, 'aqi': 45}","{'concentration': 0.79, 'aqi': 1}","{'concentration': 3.43, 'aqi': 11}","{'concentration': 4.09, 'aqi': 3}",45
Salinas,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 30.16, 'aqi': 37}","{'concentration': 41.49, 'aqi': 35}","{'concentration': 1.65, 'aqi': 2}","{'concentration': 20.51, 'aqi': 60}","{'concentration': 26.25, 'aqi': 24}",60
Carlsbad,"{'concentration': 480.65, 'aqi': 5}","{'concentration': 29.13, 'aqi': 36}","{'concentration': 38.98, 'aqi': 33}","{'concentration': 1.73, 'aqi': 2}","{'concentration': 31.24, 'aqi': 81}","{'concentration': 46.75, 'aqi': 43}",81
Upland,"{'concentration': 694.28, 'aqi': 7}","{'concentration': 94.59, 'aqi': 108}","{'concentration': 18.77, 'aqi': 15}","{'concentration': 12.28, 'aqi': 18}","{'concentration': 53.84, 'aqi': 126}","{'concentration': 69.76, 'aqi': 57}",126
Roseville,"{'concentration': 614.17, 'aqi': 6}","{'concentration': 49.35, 'aqi': 61}","{'concentration': 0.6, 'aqi': 0}","{'concentration': 3.07, 'aqi': 4}","{'concentration': 20.55, 'aqi': 60}","{'concentration': 28.95, 'aqi': 26}",61
San Buenaventura,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 11.82, 'aqi': 14}","{'concentration': 36.12, 'aqi': 30}","{'concentration': 0.12, 'aqi': 0}","{'concentration': 6.75, 'aqi': 21}","{'concentration': 10.07, 'aqi': 9}",30
Surprise,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 7.03, 'aqi': 8}","{'concentration': 76.53, 'aqi': 103}","{'concentration': 1.07, 'aqi': 1}","{'concentration': 7.26, 'aqi': 23}","{'concentration': 19.54, 'aqi': 18}",103
San Leandro,"{'concentration': 881.2, 'aqi': 10}","{'concentration': 74.03, 'aqi': 92}","{'concentration': 0, 'aqi': 0}","{'concentration': 4.23, 'aqi': 6}","{'concentration': 31.76, 'aqi': 82}","{'concentration': 45.36, 'aqi': 42}",92
Newton,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 2.83, 'aqi': 3}","{'concentration': 44.7, 'aqi': 37}","{'concentration': 0.1, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 1, 'aqi': 0}",37
Frisco,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 49.35, 'aqi': 61}","{'concentration': 30.76, 'aqi': 26}","{'concentration': 3.43, 'aqi': 5}","{'concentration': 8.91, 'aqi': 28}","{'concentration': 12.58, 'aqi': 11}",61
Saint George,"{'concentration': 206.95, 'aqi': 2}","{'concentration': 0.49, 'aqi': 0}","{'concentration': 60.08, 'aqi': 53}","{'concentration': 0.51, 'aqi': 0}","{'concentration': 2.27, 'aqi': 7}","{'concentration': 10.72, 'aqi': 9}",53
Los Angeles,"{'concentration': 1949.31, 'aqi': 22}","{'concentration': 252.25, 'aqi': 208}","{'concentration': 0, 'aqi': 0}","{'concentration': 46.25, 'aqi': 55}","{'concentration': 183.9, 'aqi': 233}","{'concentration': 218.98, 'aqi': 132}",233
Champaign,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 6.17, 'aqi': 7}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 0.48, 'aqi': 0}","{'concentration': 3.67, 'aqi': 11}","{'concentration': 4.16, 'aqi': 3}",46
The Woodlands,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 37.01, 'aqi': 46}","{'concentration': 42.92, 'aqi': 36}","{'concentration': 9.18, 'aqi': 13}","{'concentration': 9.44, 'aqi': 30}","{'concentration': 11.65, 'aqi': 10}",46
Odessa,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 2.72, 'aqi': 3}","{'concentration': 47.92, 'aqi': 40}","{'concentration': 1.31, 'aqi': 1}","{'concentration': 9.38, 'aqi': 30}","{'concentration': 10.32, 'aqi': 9}",40
Alameda,"{'concentration': 363.83, 'aqi': 4}","{'concentration': 33.93, 'aqi': 42}","{'concentration': 35.05, 'aqi': 29}","{'concentration': 2, 'aqi': 2}","{'concentration': 6.83, 'aqi': 22}","{'concentration': 11.2, 'aqi': 10}",42
Layton,"{'concentration': 453.95, 'aqi': 5}","{'concentration': 54.15, 'aqi': 67}","{'concentration': 3.35, 'aqi': 2}","{'concentration': 0.97, 'aqi': 1}","{'concentration': 14.64, 'aqi': 47}","{'concentration': 18.14, 'aqi': 16}",67
Clearwater,"{'concentration': 247, 'aqi': 2}","{'concentration': 2.49, 'aqi': 3}","{'concentration': 75.82, 'aqi': 102}","{'concentration': 1.7, 'aqi': 2}","{'concentration': 3.18, 'aqi': 10}","{'concentration': 4.23, 'aqi': 3}",102
Somerville,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 5.27, 'aqi': 6}","{'concentration': 39.7, 'aqi': 33}","{'concentration': 0.33, 'aqi': 0}","{'concentration': 0.55, 'aqi': 1}","{'concentration': 1.17, 'aqi': 1}",33
Ames,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 6.08, 'aqi': 7}","{'concentration': 28.97, 'aqi': 24}","{'concentration': 0.59, 'aqi': 0}","{'concentration': 7.76, 'aqi': 25}","{'concentration': 9.66, 'aqi': 8}",25
Savannah,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 8.65, 'aqi': 10}","{'concentration': 18.77, 'aqi': 15}","{'concentration': 0.27, 'aqi': 0}","{'concentration': 4.44, 'aqi': 14}","{'concentration': 5.93, 'aqi': 5}",15
Palatine,"{'concentration': 330.45, 'aqi': 3}","{'concentration': 17.65, 'aqi': 22}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 4.59, 'aqi': 6}","{'concentration': 7.4, 'aqi': 24}","{'concentration': 9.66, 'aqi': 8}",34
Eugene,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 9.34, 'aqi': 11}","{'concentration': 38.27, 'aqi': 32}","{'concentration': 1.24, 'aqi': 1}","{'concentration': 2.66, 'aqi': 8}","{'concentration': 5.36, 'aqi': 4}",32
Port Saint Lucie,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 2.36, 'aqi': 2}","{'concentration': 74.39, 'aqi': 98}","{'concentration': 0.37, 'aqi': 0}","{'concentration': 2.45, 'aqi': 7}","{'concentration': 6.89, 'aqi': 6}",98
New Braunfels,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 7.28, 'aqi': 9}","{'concentration': 60.8, 'aqi': 55}","{'concentration': 0.26, 'aqi': 0}","{'concentration': 3.31, 'aqi': 10}","{'concentration': 4.61, 'aqi': 4}",55
New Rochelle,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 10.88, 'aqi': 13}","{'concentration': 50.78, 'aqi': 43}","{'concentration': 1.21, 'aqi': 1}","{'concentration': 1.22, 'aqi': 3}","{'concentration': 2.7, 'aqi': 2}",43
Corona,"{'concentration': 934.6, 'aqi': 10}","{'concentration': 113.79, 'aqi': 119}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 13.35, 'aqi': 19}","{'concentration': 57.43, 'aqi': 134}","{'concentration': 76.06, 'aqi': 61}",134
Greenville,"{'concentration': 330.45, 'aqi': 3}","{'concentration': 10.71, 'aqi': 13}","{'concentration': 32.54, 'aqi': 27}","{'concentration': 0.19, 'aqi': 0}","{'concentration': 2.96, 'aqi': 9}","{'concentration': 4.26, 'aqi': 3}",27
Pine Hills,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 7.45, 'aqi': 9}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 3.43, 'aqi': 5}","{'concentration': 5.63, 'aqi': 18}","{'concentration': 6.78, 'aqi': 6}",46
Norwalk,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 4.07, 'aqi': 5}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 0.57, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.99, 'aqi': 0}",51
Deerfield Beach,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 8.48, 'aqi': 10}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 0.78, 'aqi': 1}","{'concentration': 3.73, 'aqi': 12}","{'concentration': 9.98, 'aqi': 9}",75
Oklahoma City,"{'concentration': 540.73, 'aqi': 6}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 4.2, 'aqi': 3}","{'concentration': 0.6, 'aqi': 0}","{'concentration': 12.78, 'aqi': 41}","{'concentration': 16.65, 'aqi': 15}",65
Boynton Beach,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 5.83, 'aqi': 7}","{'concentration': 71.53, 'aqi': 89}","{'concentration': 0.6, 'aqi': 0}","{'concentration': 3.39, 'aqi': 11}","{'concentration': 9.57, 'aqi': 8}",89
Alafaya,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 17.48, 'aqi': 21}","{'concentration': 41.49, 'aqi': 35}","{'concentration': 3.07, 'aqi': 4}","{'concentration': 7.28, 'aqi': 23}","{'concentration': 9.15, 'aqi': 8}",35
Grand Prairie,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 18.34, 'aqi': 22}","{'concentration': 62.23, 'aqi': 60}","{'concentration': 3.99, 'aqi': 5}","{'concentration': 5.7, 'aqi': 18}","{'concentration': 8.54, 'aqi': 7}",60
Miami,"{'concentration': 350.48, 'aqi': 3}","{'concentration': 29.82, 'aqi': 37}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 3.13, 'aqi': 4}","{'concentration': 6.53, 'aqi': 21}","{'concentration': 14.65, 'aqi': 13}",37
Joliet,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 13.88, 'aqi': 17}","{'concentration': 42.92, 'aqi': 36}","{'concentration': 3.01, 'aqi': 4}","{'concentration': 5.76, 'aqi': 18}","{'concentration': 7.13, 'aqi': 6}",36
Bk,"{'concentration': 447.27, 'aqi': 5}","{'concentration': 47.3, 'aqi': 59}","{'concentration': 6.88, 'aqi': 5}","{'concentration': 4.35, 'aqi': 6}","{'concentration': 8.7, 'aqi': 28}","{'concentration': 13.41, 'aqi': 12}",59
Renton,"{'concentration': 360.49, 'aqi': 4}","{'concentration': 27.42, 'aqi': 34}","{'concentration': 28.97, 'aqi': 24}","{'concentration': 3.34, 'aqi': 4}","{'concentration': 6.98, 'aqi': 22}","{'concentration': 9.43, 'aqi': 8}",34
Lawrence,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 21.08, 'aqi': 26}","{'concentration': 12.52, 'aqi': 10}","{'concentration': 0.06, 'aqi': 0}","{'concentration': 4.43, 'aqi': 14}","{'concentration': 6.76, 'aqi': 6}",26
Bend,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 1.84, 'aqi': 2}","{'concentration': 51.5, 'aqi': 43}","{'concentration': 0.02, 'aqi': 0}","{'concentration': 0.71, 'aqi': 2}","{'concentration': 1.36, 'aqi': 1}",43
New Orleans,"{'concentration': 634.19, 'aqi': 7}","{'concentration': 65.12, 'aqi': 81}","{'concentration': 4.02, 'aqi': 3}","{'concentration': 7.75, 'aqi': 11}","{'concentration': 16.33, 'aqi': 51}","{'concentration': 19.17, 'aqi': 17}",81
Lynn,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 4.37, 'aqi': 5}","{'concentration': 35.05, 'aqi': 29}","{'concentration': 0.41, 'aqi': 0}","{'concentration': 0.51, 'aqi': 1}","{'concentration': 0.91, 'aqi': 0}",29
Redondo Beach,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Salt Lake City,"{'concentration': 540.73, 'aqi': 6}","{'concentration': 65.8, 'aqi': 82}","{'concentration': 0.46, 'aqi': 0}","{'concentration': 1.94, 'aqi': 2}","{'concentration': 23.04, 'aqi': 65}","{'concentration': 28.91, 'aqi': 26}",82
Carolina,"{'concentration': 193.6, 'aqi': 2}","{'concentration': 0.17, 'aqi': 0}","{'concentration': 69.38, 'aqi': 82}","{'concentration': 0.21, 'aqi': 0}","{'concentration': 2, 'aqi': 6}","{'concentration': 6.71, 'aqi': 6}",82
Huntington Beach,"{'concentration': 674.25, 'aqi': 7}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 29.56, 'aqi': 78}","{'concentration': 48.84, 'aqi': 45}",78
German,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 1.14, 'aqi': 1}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 3.61, 'aqi': 5}","{'concentration': 7.48, 'aqi': 24}","{'concentration': 8.33, 'aqi': 7}",75
Irvine,"{'concentration': 674.25, 'aqi': 7}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 29.56, 'aqi': 78}","{'concentration': 48.84, 'aqi': 45}",78
Atlanta,"{'concentration': 473.98, 'aqi': 5}","{'concentration': 48.67, 'aqi': 60}","{'concentration': 7.78, 'aqi': 6}","{'concentration': 2.68, 'aqi': 3}","{'concentration': 13.56, 'aqi': 44}","{'concentration': 18.36, 'aqi': 17}",60
Caguas,"{'concentration': 193.6, 'aqi': 2}","{'concentration': 0.21, 'aqi': 0}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 0.26, 'aqi': 0}","{'concentration': 1.98, 'aqi': 6}","{'concentration': 6.24, 'aqi': 5}",75
Newport Beach,"{'concentration': 674.25, 'aqi': 7}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 29.56, 'aqi': 78}","{'concentration': 48.84, 'aqi': 45}",78
Stamford,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 4.07, 'aqi': 5}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 0.57, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.99, 'aqi': 0}",51
Richmond,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 14.57, 'aqi': 18}","{'concentration': 26.46, 'aqi': 22}","{'concentration': 0.16, 'aqi': 0}","{'concentration': 2.43, 'aqi': 7}","{'concentration': 3.43, 'aqi': 3}",22
Livermore,"{'concentration': 580.79, 'aqi': 6}","{'concentration': 77.46, 'aqi': 96}","{'concentration': 2.57, 'aqi': 2}","{'concentration': 5.25, 'aqi': 7}","{'concentration': 36.49, 'aqi': 92}","{'concentration': 45.38, 'aqi': 42}",96
North Richland Hills,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 21.76, 'aqi': 27}","{'concentration': 55.79, 'aqi': 47}","{'concentration': 2.56, 'aqi': 3}","{'concentration': 7.12, 'aqi': 23}","{'concentration': 9.98, 'aqi': 9}",47
San Antonio,"{'concentration': 370.5, 'aqi': 4}","{'concentration': 30.16, 'aqi': 37}","{'concentration': 58.65, 'aqi': 49}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 8.47, 'aqi': 27}","{'concentration': 9.79, 'aqi': 9}",49
Franklin,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 14.22, 'aqi': 17}","{'concentration': 33.26, 'aqi': 28}","{'concentration': 0.34, 'aqi': 0}","{'concentration': 3.31, 'aqi': 10}","{'concentration': 4.36, 'aqi': 4}",28
Yonkers,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 9.85, 'aqi': 12}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 1.04, 'aqi': 1}","{'concentration': 1.24, 'aqi': 4}","{'concentration': 2.48, 'aqi': 2}",42
Midland,"{'concentration': 240.33, 'aqi': 2}","{'concentration': 3.81, 'aqi': 4}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 0.11, 'aqi': 0}","{'concentration': 4.51, 'aqi': 14}","{'concentration': 12.61, 'aqi': 11}",46
Decatur,"{'concentration': 280.38, 'aqi': 3}","{'concentration': 7.8, 'aqi': 9}","{'concentration': 56.51, 'aqi': 47}","{'concentration': 1, 'aqi': 1}","{'concentration': 4.5, 'aqi': 14}","{'concentration': 5.05, 'aqi': 4}",47
