city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Orem,"{'concentration': 1121.52, 'aqi': 12}","{'concentration': 143.95, 'aqi': 136}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.13, 'aqi': 14}","{'concentration': 95.53, 'aqi': 167}","{'concentration': 105.64, 'aqi': 75}",167
Berkeley,"{'concentration': 347.14, 'aqi': 3}","{'concentration': 38.39, 'aqi': 47}","{'concentration': 22.89, 'aqi': 19}","{'concentration': 3.28, 'aqi': 4}","{'concentration': 6.63, 'aqi': 21}","{'concentration': 12.92, 'aqi': 11}",47
Topeka,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 9.94, 'aqi': 12}","{'concentration': 33.98, 'aqi': 28}","{'concentration': 0.06, 'aqi': 0}","{'concentration': 3.35, 'aqi': 10}","{'concentration': 6.16, 'aqi': 5}",28
Indio,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 25.36, 'aqi': 31}","{'concentration': 50.78, 'aqi': 43}","{'concentration': 0.91, 'aqi': 1}","{'concentration': 12, 'aqi': 38}","{'concentration': 31.25, 'aqi': 28}",43
Lafayette,"{'concentration': 417.23, 'aqi': 4}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 18.95, 'aqi': 16}","{'concentration': 0.54, 'aqi': 0}","{'concentration': 9, 'aqi': 29}","{'concentration': 11.21, 'aqi': 10}",33
Iowa City,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 10.71, 'aqi': 13}","{'concentration': 36.48, 'aqi': 30}","{'concentration': 2.59, 'aqi': 3}","{'concentration': 5.45, 'aqi': 17}","{'concentration': 6.46, 'aqi': 5}",30
West Valley City,"{'concentration': 540.73, 'aqi': 6}","{'concentration': 65.8, 'aqi': 82}","{'concentration': 0.46, 'aqi': 0}","{'concentration': 1.94, 'aqi': 2}","{'concentration': 23.04, 'aqi': 65}","{'concentration': 28.91, 'aqi': 26}",82
Pearland,"{'concentration': 377.18, 'aqi': 4}","{'concentration': 35.64, 'aqi': 44}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 2.62, 'aqi': 3}","{'concentration': 8.41, 'aqi': 27}","{'concentration': 12.53, 'aqi': 11}",44
Duluth,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 6.26, 'aqi': 7}","{'concentration': 52.93, 'aqi': 44}","{'concentration': 4.35, 'aqi': 6}","{'concentration': 4.64, 'aqi': 15}","{'concentration': 5.94, 'aqi': 5}",44
Warwick,"{'concentration': 226.97, 'aqi': 2}","{'concentration': 10.11, 'aqi': 12}","{'concentration': 39.34, 'aqi': 33}","{'concentration': 1.68, 'aqi': 2}","{'concentration': 3.88, 'aqi': 12}","{'concentration': 5.29, 'aqi': 4}",33
Rancho Cordova,"{'concentration': 974.66, 'aqi': 11}","{'concentration': 78.14, 'aqi': 97}","{'concentration': 0, 'aqi': 0}","{'concentration': 8.58, 'aqi': 12}","{'concentration': 38.19, 'aqi': 95}","{'concentration': 45.45, 'aqi': 42}",97
Yuma,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 10.71, 'aqi': 13}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 0.66, 'aqi': 0}","{'concentration': 10.92, 'aqi': 35}","{'concentration': 33.91, 'aqi': 31}",46
Saint Charles,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 16.11, 'aqi': 20}","{'concentration': 43.63, 'aqi': 36}","{'concentration': 0.61, 'aqi': 0}","{'concentration': 4.53, 'aqi': 14}","{'concentration': 5.89, 'aqi': 5}",36
Frederick,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 13.37, 'aqi': 16}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 2.92, 'aqi': 4}","{'concentration': 3.01, 'aqi': 9}","{'concentration': 4.24, 'aqi': 3}",34
Mayagüez,"{'concentration': 193.6, 'aqi': 2}","{'concentration': 0.27, 'aqi': 0}","{'concentration': 60.08, 'aqi': 53}","{'concentration': 0.2, 'aqi': 0}","{'concentration': 2.15, 'aqi': 6}","{'concentration': 5.05, 'aqi': 4}",53
Mission Viejo,"{'concentration': 514.03, 'aqi': 5}","{'concentration': 50.04, 'aqi': 62}","{'concentration': 10.73, 'aqi': 9}","{'concentration': 1.57, 'aqi': 2}","{'concentration': 23.61, 'aqi': 66}","{'concentration': 38.63, 'aqi': 35}",66
Spring Valley,"{'concentration': 467.3, 'aqi': 5}","{'concentration': 54.84, 'aqi': 68}","{'concentration': 29.33, 'aqi': 24}","{'concentration': 5.96, 'aqi': 8}","{'concentration': 13.26, 'aqi': 43}","{'concentration': 17.15, 'aqi': 15}",68
Newport News,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 31.11, 'aqi': 26}","{'concentration': 1.54, 'aqi': 2}","{'concentration': 1.61, 'aqi': 5}","{'concentration': 2.5, 'aqi': 2}",26
Olathe,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 15.08, 'aqi': 18}","{'concentration': 24.68, 'aqi': 20}","{'concentration': 0.13, 'aqi': 0}","{'concentration': 4.11, 'aqi': 13}","{'concentration': 7.01, 'aqi': 6}",20
